x,y,dx,dy,movement
339,251,-7,-7,235
332,244,-7,-7,228
325,237,-7,-7,221
318,230,-7,-7,214
311,223,-7,-7,207
304,216,-7,-7,200
297,209,-7,-7,193
290,202,-7,-7,186
283,195,-7,-7,179
276,188,-7,-7,172
269,181,-7,-7,165
262,174,-7,-7,158
255,167,-7,-7,151
248,160,-7,-7,144
241,153,-7,-7,137
234,146,-7,-7,130
227,139,-7,-7,123
220,132,-7,-7,116
213,125,-7,-7,109
206,118,-7,-7,102
199,111,-7,-7,95
192,104,-7,-7,88
185,97,-7,-7,81
178,90,-7,-7,74
171,83,-7,-7,67
164,76,-7,-7,60
157,69,-7,-7,53
150,62,-7,-7,46
143,55,-7,-7,39
136,48,-7,-7,32
129,41,-7,-7,25
122,34,-7,-7,18
115,27,-7,-7,11
108,20,-7,-7,4
101,13,-7,-7,-3
94,6,-7,-7,-7
87,13,-7,7,-7
80,20,-7,7,-7
73,27,-7,7,-7
66,34,-7,7,0
59,41,-7,7,0
52,48,-7,7,0
45,55,-7,7,0
38,62,-7,7,7
31,69,-7,7,14
24,76,-7,7,21
31,83,7,7,28
38,90,7,7,35
45,97,7,7,42
52,104,7,7,49
59,111,7,7,56
66,118,7,7,63
73,125,7,7,70
80,132,7,7,77
87,139,7,7,84
94,146,7,7,91
101,153,7,7,98
108,160,7,7,105
115,167,7,7,112
122,174,7,7,119
129,181,7,7,126
136,188,7,7,133
143,195,7,7,140
150,202,7,7,147
157,209,7,7,154
164,216,7,7,161
171,223,7,7,168
178,230,7,7,175
185,237,7,7,182
192,244,7,7,189
199,251,7,7,196
206,258,7,7,203
213,265,7,7,210
220,272,7,7,217
227,279,7,7,224
234,286,7,7,231
241,293,7,7,238
248,300,7,7,238
255,307,7,7,238
262,314,7,7,238
269,321,7,7,238
276,328,7,7,238
283,335,7,7,238
290,342,7,7,238
297,349,7,7,238
304,356,7,7,238
311,363,7,7,238
318,370,7,7,238
325,377,7,7,238
332,384,7,7,238
339,391,7,7,238
346,398,7,7,238
353,405,7,7,238
360,412,7,7,238
367,419,7,7,238
374,426,7,7,238
381,433,7,7,238
388,440,7,7,238
395,447,7,7,238
402,454,7,7,238
409,461,7,7,238
416,468,7,7,238
423,475,7,7,238
430,482,7,7,238
437,489,7,7,238
444,496,7,7,238
451,503,7,7,238
458,510,7,7,238
465,517,7,7,238
472,524,7,7,238
479,531,7,7,238
486,538,7,7,238
493,545,7,7,238
500,552,7,7,238
507,559,7,7,238
514,566,7,7,238
521,573,7,7,238
528,580,7,7,238
535,587,7,7,238
542,594,7,7,238
549,587,7,-7,238
556,580,7,-7,238
563,573,7,-7,238
570,566,7,-7,238
577,559,7,-7,238
584,552,7,-7,238
591,545,7,-7,238
598,538,7,-7,238
605,531,7,-7,238
612,524,7,-7,238
619,517,7,-7,238
626,510,7,-7,238
633,503,7,-7,238
640,496,7,-7,238
647,489,7,-7,238
654,482,7,-7,238
661,475,7,-7,238
668,468,7,-7,238
675,461,7,-7,238
682,454,7,-7,238
689,447,7,-7,238
696,440,7,-7,238
703,433,7,-7,238
710,426,7,-7,238
717,419,7,-7,238
724,412,7,-7,238
731,405,7,-7,238
738,398,7,-7,238
745,391,7,-7,238
752,384,7,-7,238
759,377,7,-7,238
766,370,7,-7,238
773,363,7,-7,238
780,356,7,-7,238
787,349,7,-7,238
794,342,7,-7,238
801,335,7,-7,238
808,328,7,-7,238
815,321,7,-7,238
822,314,7,-7,238
829,307,7,-7,238
836,300,7,-7,238
843,293,7,-7,238
850,286,7,-7,238
857,279,7,-7,238
864,272,7,-7,238
871,265,7,-7,238
878,258,7,-7,238
885,251,7,-7,238
892,244,7,-7,238
899,237,7,-7,238
906,230,7,-7,238
913,223,7,-7,238
920,216,7,-7,238
927,209,7,-7,238
934,202,7,-7,238
941,195,7,-7,238
948,188,7,-7,238
955,181,7,-7,238
962,174,7,-7,238
969,167,7,-7,238
976,160,7,-7,238
969,153,-7,-7,238
962,146,-7,-7,238
955,139,-7,-7,238
948,132,-7,-7,238
941,125,-7,-7,238
934,118,-7,-7,238
927,111,-7,-7,238
920,104,-7,-7,238
913,97,-7,-7,238
906,90,-7,-7,238
899,83,-7,-7,238
892,76,-7,-7,238
885,69,-7,-7,238
878,62,-7,-7,238
871,55,-7,-7,238
864,48,-7,-7,238
857,41,-7,-7,238
850,34,-7,-7,238
843,27,-7,-7,238
836,20,-7,-7,238
829,13,-7,-7,238
822,6,-7,-7,238
815,13,-7,7,238
808,20,-7,7,238
801,27,-7,7,238
794,34,-7,7,238
787,41,-7,7,238
780,48,-7,7,238
773,55,-7,7,238
766,62,-7,7,245
759,69,-7,7,252
752,76,-7,7,259
745,83,-7,7,266
738,90,-7,7,273
731,97,-7,7,280
724,104,-7,7,287
717,111,-7,7,294
710,118,-7,7,301
703,125,-7,7,308
696,132,-7,7,315
689,139,-7,7,322
682,146,-7,7,329
675,153,-7,7,336
668,160,-7,7,343
661,167,-7,7,343
654,174,-7,7,343
647,181,-7,7,343
640,188,-7,7,343
633,195,-7,7,343
626,202,-7,7,343
619,209,-7,7,343
612,216,-7,7,343
605,223,-7,7,343
598,230,-7,7,343
591,237,-7,7,343
584,244,-7,7,343
577,251,-7,7,343
570,258,-7,7,343
563,265,-7,7,343
556,272,-7,7,343
549,279,-7,7,343
542,286,-7,7,343
535,293,-7,7,343
528,300,-7,7,343
521,307,-7,7,343
514,314,-7,7,343
507,321,-7,7,350
500,328,-7,7,357
493,335,-7,7,364
486,342,-7,7,371
479,349,-7,7,378
472,356,-7,7,385
465,363,-7,7,392
458,370,-7,7,399
451,377,-7,7,406
444,384,-7,7,413
437,391,-7,7,420
430,398,-7,7,427
423,405,-7,7,434
416,412,-7,7,441
409,419,-7,7,441
402,426,-7,7,441
395,433,-7,7,441
388,440,-7,7,441
381,447,-7,7,441
374,454,-7,7,441
367,461,-7,7,441
360,468,-7,7,441
353,475,-7,7,441
346,482,-7,7,441
339,489,-7,7,441
332,496,-7,7,441
325,503,-7,7,441
318,510,-7,7,441
311,517,-7,7,441
304,524,-7,7,441
297,531,-7,7,441
290,538,-7,7,441
283,545,-7,7,441
276,552,-7,7,441
269,559,-7,7,441
262,566,-7,7,441
255,573,-7,7,441
248,580,-7,7,441
241,587,-7,7,441
234,594,-7,7,441
227,587,-7,-7,441
220,580,-7,-7,441
213,573,-7,-7,441
206,566,-7,-7,441
199,559,-7,-7,441
192,552,-7,-7,441
185,545,-7,-7,441
178,538,-7,-7,441
171,531,-7,-7,441
164,524,-7,-7,441
157,517,-7,-7,441
150,510,-7,-7,434
143,503,-7,-7,427
136,496,-7,-7,420
129,489,-7,-7,413
122,482,-7,-7,406
115,475,-7,-7,399
108,468,-7,-7,392
101,461,-7,-7,385
94,454,-7,-7,378
87,447,-7,-7,371
80,440,-7,-7,364
73,433,-7,-7,364
66,426,-7,-7,364
59,419,-7,-7,364
52,412,-7,-7,364
45,405,-7,-7,357
38,398,-7,-7,350
31,391,-7,-7,343
24,384,-7,-7,336
31,377,7,-7,329
38,370,7,-7,322
45,363,7,-7,315
52,356,7,-7,308
59,349,7,-7,301
66,342,7,-7,294
73,335,7,-7,287
80,328,7,-7,280
87,321,7,-7,273
94,314,7,-7,266
101,307,7,-7,259
108,300,7,-7,252
115,293,7,-7,252
122,286,7,-7,252
129,279,7,-7,252
136,272,7,-7,252
143,265,7,-7,252
150,258,7,-7,252
157,251,7,-7,252
164,244,7,-7,259
171,237,7,-7,266
178,230,7,-7,273
185,223,7,-7,280
192,216,7,-7,287
199,209,7,-7,294
206,202,7,-7,301
213,195,7,-7,308
220,188,7,-7,315
227,181,7,-7,322
234,174,7,-7,329
241,167,7,-7,336
248,160,7,-7,343
255,153,7,-7,350
262,146,7,-7,350
269,139,7,-7,350
276,132,7,-7,350
283,125,7,-7,350
290,118,7,-7,350
297,111,7,-7,350
304,104,7,-7,350
311,97,7,-7,350
318,90,7,-7,350
325,83,7,-7,350
332,76,7,-7,350
339,69,7,-7,350
346,62,7,-7,350
353,55,7,-7,350
360,48,7,-7,350
367,41,7,-7,350
374,34,7,-7,350
381,27,7,-7,350
388,20,7,-7,350
395,13,7,-7,350
402,6,7,-7,350
409,13,7,7,350
416,20,7,7,350
423,27,7,7,350
430,34,7,7,350
437,41,7,7,350
444,48,7,7,350
451,55,7,7,350
458,62,7,7,350
465,69,7,7,350
472,76,7,7,350
479,83,7,7,350
486,90,7,7,350
493,97,7,7,350
500,104,7,7,350
507,111,7,7,350
514,118,7,7,350
521,125,7,7,350
528,132,7,7,350
535,139,7,7,350
542,146,7,7,350
549,153,7,7,350
556,160,7,7,350
563,167,7,7,350
570,174,7,7,350
577,181,7,7,350
584,188,7,7,350
591,195,7,7,350
598,202,7,7,350
605,209,7,7,350
612,216,7,7,350
619,223,7,7,350
626,230,7,7,350
633,237,7,7,350
640,244,7,7,350
647,251,7,7,350
654,258,7,7,350
661,265,7,7,350
668,272,7,7,350
675,279,7,7,350
682,286,7,7,350
689,293,7,7,350
696,300,7,7,350
703,307,7,7,350
710,314,7,7,350
717,321,7,7,350
724,328,7,7,350
731,335,7,7,350
738,342,7,7,350
745,349,7,7,350
752,356,7,7,350
759,363,7,7,350
766,370,7,7,350
773,377,7,7,350
780,384,7,7,350
787,391,7,7,350
794,398,7,7,350
801,405,7,7,350
808,412,7,7,350
815,419,7,7,350
822,426,7,7,350
829,433,7,7,350
836,440,7,7,350
843,447,7,7,350
850,454,7,7,350
857,461,7,7,350
864,468,7,7,350
871,475,7,7,350
878,482,7,7,350
885,489,7,7,350
892,496,7,7,350
899,503,7,7,350
906,510,7,7,350
913,517,7,7,350
920,524,7,7,350
927,531,7,7,350
934,538,7,7,350
941,545,7,7,350
948,552,7,7,350
955,559,7,7,350
962,566,7,7,350
969,573,7,7,350
976,580,7,7,350
969,587,-7,7,350
962,594,-7,7,350
955,587,-7,-7,350
948,580,-7,-7,350
941,573,-7,-7,350
934,566,-7,-7,350
927,559,-7,-7,350
920,552,-7,-7,350
913,545,-7,-7,350
906,538,-7,-7,350
899,531,-7,-7,350
892,524,-7,-7,350
885,517,-7,-7,350
878,510,-7,-7,350
871,503,-7,-7,350
864,496,-7,-7,350
857,489,-7,-7,350
850,482,-7,-7,350
843,475,-7,-7,350
836,468,-7,-7,350
829,461,-7,-7,350
822,454,-7,-7,350
815,447,-7,-7,350
808,440,-7,-7,350
801,433,-7,-7,350
794,426,-7,-7,350
787,419,-7,-7,350
780,412,-7,-7,350
773,405,-7,-7,350
766,398,-7,-7,350
759,391,-7,-7,350
752,384,-7,-7,350
745,377,-7,-7,350
738,370,-7,-7,350
731,363,-7,-7,350
724,356,-7,-7,350
717,349,-7,-7,350
710,342,-7,-7,350
703,335,-7,-7,350
696,328,-7,-7,350
689,321,-7,-7,343
682,314,-7,-7,336
675,307,-7,-7,329
668,300,-7,-7,322
661,293,-7,-7,315
654,286,-7,-7,308
647,279,-7,-7,301
640,272,-7,-7,294
633,265,-7,-7,287
626,258,-7,-7,280
619,251,-7,-7,273
612,244,-7,-7,266
605,237,-7,-7,259
598,230,-7,-7,252
591,223,-7,-7,245
584,216,-7,-7,238
577,209,-7,-7,231
570,202,-7,-7,224
563,195,-7,-7,217
556,188,-7,-7,210
549,181,-7,-7,203
542,174,-7,-7,203
535,167,-7,-7,203
528,160,-7,-7,203
521,153,-7,-7,203
514,146,-7,-7,203
507,139,-7,-7,203
500,132,-7,-7,203
493,125,-7,-7,203
486,118,-7,-7,203
479,111,-7,-7,203
472,104,-7,-7,203
465,97,-7,-7,203
458,90,-7,-7,203
451,83,-7,-7,203
444,76,-7,-7,203
437,69,-7,-7,203
430,62,-7,-7,203
423,55,-7,-7,203
416,48,-7,-7,203
409,41,-7,-7,203
402,34,-7,-7,203
395,27,-7,-7,203
388,20,-7,-7,203
381,13,-7,-7,203
374,6,-7,-7,203
367,13,-7,7,203
360,20,-7,7,203
353,27,-7,7,203
346,34,-7,7,203
339,41,-7,7,203
332,48,-7,7,203
325,55,-7,7,203
318,62,-7,7,203
311,69,-7,7,203
304,76,-7,7,210
297,83,-7,7,217
290,90,-7,7,224
283,97,-7,7,231
276,104,-7,7,238
269,111,-7,7,245
262,118,-7,7,252
255,125,-7,7,259
248,132,-7,7,266
241,139,-7,7,273
234,146,-7,7,273
227,153,-7,7,273
220,160,-7,7,273
213,167,-7,7,273
206,174,-7,7,273
199,181,-7,7,273
192,188,-7,7,273
185,195,-7,7,273
178,202,-7,7,273
171,209,-7,7,273
164,216,-7,7,273
157,223,-7,7,273
150,230,-7,7,273
143,237,-7,7,273
136,244,-7,7,273
129,251,-7,7,273
122,258,-7,7,273
115,265,-7,7,273
108,272,-7,7,273
101,279,-7,7,273
94,286,-7,7,273
87,293,-7,7,273
80,300,-7,7,273
73,307,-7,7,273
66,314,-7,7,273
59,321,-7,7,273
52,328,-7,7,273
45,335,-7,7,273
38,342,-7,7,273
31,349,-7,7,273
24,356,-7,7,273
31,363,7,7,273
38,370,7,7,273
45,377,7,7,273
52,384,7,7,280
59,391,7,7,287
66,398,7,7,294
73,405,7,7,301
80,412,7,7,308
87,419,7,7,315
94,426,7,7,322
101,433,7,7,329
108,440,7,7,336
115,447,7,7,343
122,454,7,7,350
129,461,7,7,350
136,468,7,7,350
143,475,7,7,350
150,482,7,7,350
157,489,7,7,350
164,496,7,7,350
171,503,7,7,350
178,510,7,7,350
185,517,7,7,350
192,524,7,7,350
199,531,7,7,350
206,538,7,7,350
213,545,7,7,350
220,552,7,7,350
227,559,7,7,350
234,566,7,7,350
241,573,7,7,350
248,580,7,7,350
255,587,7,7,350
262,594,7,7,350
269,587,7,-7,350
276,580,7,-7,350
283,573,7,-7,350
290,566,7,-7,350
297,559,7,-7,350
304,552,7,-7,350
311,545,7,-7,350
318,538,7,-7,350
325,531,7,-7,350
332,524,7,-7,350
339,517,7,-7,350
346,510,7,-7,350
353,503,7,-7,350
360,496,7,-7,350
367,489,7,-7,350
374,482,7,-7,350
381,475,7,-7,350
388,468,7,-7,350
395,461,7,-7,350
402,454,7,-7,350
409,447,7,-7,350
416,440,7,-7,350
423,433,7,-7,350
430,426,7,-7,350
437,419,7,-7,350
444,412,7,-7,350
451,405,7,-7,350
458,398,7,-7,350
465,391,7,-7,350
472,384,7,-7,350
479,377,7,-7,350
486,370,7,-7,350
493,363,7,-7,350
500,356,7,-7,350
507,349,7,-7,350
514,342,7,-7,350
521,335,7,-7,350
528,328,7,-7,350
535,321,7,-7,350
542,314,7,-7,350
549,307,7,-7,350
556,300,7,-7,350
563,293,7,-7,350
570,286,7,-7,350
577,279,7,-7,350
584,272,7,-7,350
591,265,7,-7,350
598,258,7,-7,350
605,251,7,-7,350
612,244,7,-7,350
619,237,7,-7,350
626,230,7,-7,350
633,223,7,-7,350
640,216,7,-7,350
647,209,7,-7,350
654,202,7,-7,350
661,195,7,-7,350
668,188,7,-7,350
675,181,7,-7,350
682,174,7,-7,350
689,167,7,-7,350
696,160,7,-7,350
703,153,7,-7,350
710,146,7,-7,350
717,139,7,-7,350
724,132,7,-7,350
731,125,7,-7,350
738,118,7,-7,350
745,111,7,-7,350
752,104,7,-7,350
759,97,7,-7,350
766,90,7,-7,350
773,83,7,-7,350
780,76,7,-7,350
787,69,7,-7,350
794,62,7,-7,350
801,55,7,-7,350
808,48,7,-7,350
815,41,7,-7,350
822,34,7,-7,350
829,27,7,-7,350
836,20,7,-7,350
843,13,7,-7,350
850,6,7,-7,350
857,13,7,7,350
864,20,7,7,350
871,27,7,7,350
878,34,7,7,350
885,41,7,7,350
892,48,7,7,350
899,55,7,7,350
906,62,7,7,350
913,69,7,7,350
920,76,7,7,350
927,83,7,7,350
934,90,7,7,350
941,97,7,7,350
948,104,7,7,350
955,111,7,7,350
962,118,7,7,350
969,125,7,7,350
976,132,7,7,350
983,139,7,7,350
976,146,-7,7,350
983,153,7,7,350
976,160,-7,7,350
983,167,7,7,350
976,174,-7,7,350
983,181,7,7,350
976,188,-7,7,350
983,195,7,7,350
976,202,-7,7,350
983,209,7,7,350
976,216,-7,7,350
983,223,7,7,350
976,230,-7,7,350
969,237,-7,7,350
962,244,-7,7,350
955,251,-7,7,350
948,258,-7,7,350
941,265,-7,7,350
934,272,-7,7,350
927,279,-7,7,350
920,286,-7,7,350
913,293,-7,7,350
906,300,-7,7,350
899,307,-7,7,350
892,314,-7,7,350
885,321,-7,7,350
878,328,-7,7,350
871,335,-7,7,350
864,342,-7,7,350
857,349,-7,7,350
850,356,-7,7,350
843,363,-7,7,350
836,370,-7,7,350
829,377,-7,7,350
822,384,-7,7,350
815,391,-7,7,350
808,398,-7,7,350
801,405,-7,7,350
794,412,-7,7,350
787,419,-7,7,350
780,426,-7,7,350
773,433,-7,7,350
766,440,-7,7,350
759,447,-7,7,350
752,454,-7,7,350
745,461,-7,7,350
738,468,-7,7,350
731,475,-7,7,350
724,482,-7,7,350
717,489,-7,7,350
710,496,-7,7,350
703,503,-7,7,350
696,510,-7,7,350
689,517,-7,7,350
682,524,-7,7,350
675,531,-7,7,350
668,538,-7,7,350
661,545,-7,7,350
654,552,-7,7,350
647,559,-7,7,350
640,566,-7,7,350
633,573,-7,7,350
626,580,-7,7,350
619,587,-7,7,350
612,594,-7,7,350
605,587,-7,-7,350
598,580,-7,-7,350
591,573,-7,-7,350
584,566,-7,-7,350
577,559,-7,-7,350
570,552,-7,-7,350
563,545,-7,-7,350
556,538,-7,-7,350
549,531,-7,-7,350
542,524,-7,-7,350
535,517,-7,-7,350
528,510,-7,-7,350
521,503,-7,-7,350
514,496,-7,-7,350
507,489,-7,-7,343
500,482,-7,-7,336
493,475,-7,-7,329
486,468,-7,-7,322
479,461,-7,-7,315
472,454,-7,-7,308
465,447,-7,-7,301
458,440,-7,-7,294
451,433,-7,-7,287
444,426,-7,-7,280
437,419,-7,-7,273
430,412,-7,-7,266
423,405,-7,-7,259
416,398,-7,-7,252
409,391,-7,-7,245
402,384,-7,-7,238
395,377,-7,-7,231
388,370,-7,-7,224
381,363,-7,-7,217
374,356,-7,-7,210
367,349,-7,-7,203
360,342,-7,-7,196
353,335,-7,-7,189
346,328,-7,-7,182
339,321,-7,-7,175
332,314,-7,-7,168
325,307,-7,-7,161
318,300,-7,-7,161
311,293,-7,-7,161
304,286,-7,-7,161
297,279,-7,-7,161
290,272,-7,-7,161
283,265,-7,-7,161
276,258,-7,-7,161
269,251,-7,-7,161
262,244,-7,-7,154
255,237,-7,-7,147
248,230,-7,-7,140
241,223,-7,-7,133
234,216,-7,-7,126
227,209,-7,-7,119
220,202,-7,-7,112
213,195,-7,-7,105
206,188,-7,-7,98
199,181,-7,-7,91
192,174,-7,-7,84
185,167,-7,-7,77
178,160,-7,-7,77
171,153,-7,-7,77
164,146,-7,-7,77
157,139,-7,-7,77
150,132,-7,-7,77
143,125,-7,-7,77
136,118,-7,-7,77
129,111,-7,-7,70
122,104,-7,-7,63
115,97,-7,-7,56
108,90,-7,-7,49
101,83,-7,-7,42
94,76,-7,-7,35
87,69,-7,-7,28
80,62,-7,-7,21
73,55,-7,-7,14
66,48,-7,-7,7
59,41,-7,-7,0
52,34,-7,-7,-7
45,27,-7,-7,-7
38,20,-7,-7,-7
31,13,-7,-7,-7
24,6,-7,-7,-7
31,13,7,7,-7
38,20,7,7,-7
45,27,7,7,0
52,34,7,7,0
59,41,7,7,0
66,48,7,7,7
73,55,7,7,14
80,62,7,7,21
87,69,7,7,28
94,76,7,7,35
101,83,7,7,42
108,90,7,7,49
115,97,7,7,56
122,104,7,7,63
129,111,7,7,70
136,118,7,7,77
143,125,7,7,84
150,132,7,7,91
157,139,7,7,98
164,146,7,7,105
171,153,7,7,112
178,160,7,7,119
185,167,7,7,126
192,174,7,7,133
199,181,7,7,140
206,188,7,7,147
213,195,7,7,154
220,202,7,7,161
227,209,7,7,168
234,216,7,7,175
241,223,7,7,182
248,230,7,7,189
255,237,7,7,189
262,244,7,7,189
269,251,7,7,189
276,258,7,7,189
283,265,7,7,189
290,272,7,7,189
297,279,7,7,189
304,286,7,7,189
311,293,7,7,189
318,300,7,7,189
325,307,7,7,189
332,314,7,7,189
339,321,7,7,189
346,328,7,7,189
353,335,7,7,189
360,342,7,7,189
367,349,7,7,189
374,356,7,7,189
381,363,7,7,189
388,370,7,7,189
395,377,7,7,189
402,384,7,7,189
409,391,7,7,189
416,398,7,7,189
423,405,7,7,189
430,412,7,7,189
437,419,7,7,189
444,426,7,7,189
451,433,7,7,189
458,440,7,7,189
465,447,7,7,189
472,454,7,7,189
479,461,7,7,189
486,468,7,7,189
493,475,7,7,189
500,482,7,7,189
507,489,7,7,189
514,496,7,7,189
521,503,7,7,189
528,510,7,7,189
535,517,7,7,189
542,524,7,7,189
549,531,7,7,189
556,538,7,7,189
563,545,7,7,189
570,552,7,7,189
577,559,7,7,189
584,566,7,7,189
591,573,7,7,189
598,580,7,7,189
605,587,7,7,189
612,594,7,7,189
619,587,7,-7,189
626,580,7,-7,189
633,573,7,-7,189
640,566,7,-7,189
647,559,7,-7,189
654,552,7,-7,189
661,545,7,-7,189
668,538,7,-7,189
675,531,7,-7,189
682,524,7,-7,189
689,517,7,-7,189
696,510,7,-7,189
703,503,7,-7,189
710,496,7,-7,189
717,489,7,-7,189
724,482,7,-7,189
731,475,7,-7,189
738,468,7,-7,189
745,461,7,-7,189
752,454,7,-7,189
759,447,7,-7,189
766,440,7,-7,189
773,433,7,-7,189
780,426,7,-7,189
787,419,7,-7,189
794,412,7,-7,189
801,405,7,-7,189
808,398,7,-7,189
815,391,7,-7,189
822,384,7,-7,189
829,377,7,-7,189
836,370,7,-7,189
843,363,7,-7,189
850,356,7,-7,189
857,349,7,-7,189
864,342,7,-7,189
871,335,7,-7,189
878,328,7,-7,189
885,321,7,-7,189
892,314,7,-7,189
899,307,7,-7,189
906,300,7,-7,189
913,293,7,-7,189
920,286,7,-7,189
927,279,7,-7,189
934,272,7,-7,189
941,265,7,-7,189
948,258,7,-7,189
955,251,7,-7,189
962,244,7,-7,189
969,237,7,-7,189
976,230,7,-7,189
969,223,-7,-7,189
962,216,-7,-7,189
955,209,-7,-7,189
948,202,-7,-7,189
941,195,-7,-7,189
934,188,-7,-7,189
927,181,-7,-7,189
920,174,-7,-7,189
913,167,-7,-7,189
906,160,-7,-7,189
899,153,-7,-7,189
892,146,-7,-7,189
885,139,-7,-7,189
878,132,-7,-7,189
871,125,-7,-7,189
864,118,-7,-7,189
857,111,-7,-7,189
850,104,-7,-7,189
843,97,-7,-7,196
836,90,-7,-7,203
829,83,-7,-7,210
822,76,-7,-7,217
815,69,-7,-7,224
808,62,-7,-7,231
801,55,-7,-7,238
794,48,-7,-7,245
787,41,-7,-7,252
780,34,-7,-7,259
773,27,-7,-7,266
766,20,-7,-7,273
759,13,-7,-7,280
752,6,-7,-7,287
745,13,-7,7,294
738,20,-7,7,301
731,27,-7,7,308
724,34,-7,7,315
717,41,-7,7,322
710,48,-7,7,329
703,55,-7,7,336
696,62,-7,7,343
689,69,-7,7,350
682,76,-7,7,357
675,83,-7,7,364
668,90,-7,7,364
661,97,-7,7,364
654,104,-7,7,364
647,111,-7,7,364
640,118,-7,7,364
633,125,-7,7,364
626,132,-7,7,364
619,139,-7,7,364
612,146,-7,7,364
605,153,-7,7,364
598,160,-7,7,364
591,167,-7,7,357
584,174,-7,7,350
577,181,-7,7,343
570,188,-7,7,336
563,195,-7,7,329
556,202,-7,7,322
549,209,-7,7,315
542,216,-7,7,308
535,223,-7,7,301
528,230,-7,7,294
521,237,-7,7,287
514,244,-7,7,280
507,251,-7,7,273
500,258,-7,7,266
493,265,-7,7,259
486,272,-7,7,252
479,279,-7,7,245
472,286,-7,7,238
465,293,-7,7,231
458,300,-7,7,231
451,307,-7,7,231
444,314,-7,7,231
437,321,-7,7,231
430,328,-7,7,238
423,335,-7,7,245
416,342,-7,7,252
409,349,-7,7,259
402,356,-7,7,266
395,363,-7,7,273
